  id   |               claim_id               | transaction_id | reason_code |   due_date   |  status   
-------+--------------------------------------+----------------+-------------+--------------+-----------
 87090 | d833b737-bfc6-4486-9815-9558ee237a67 | TXN-001251     | 4853        | Apr 1, 2026  | INITIATED
 87091 | f42ae4a5-28b8-493a-bb6c-d095da7b3005 | TXN-001234     | 4831        | Apr 2, 2026  | INITIATED
 87092 | df4c000c-9eb9-4246-b62f-71ec9169befd | TXN-001235     | 4834        | Apr 2, 2026  | INITIATED
 87093 | 8e5a49c9-adbd-4c6b-8e66-5bfc409ca0da | TXN-001236     | 4834        | Mar 31, 2026 | INITIATED
 87094 | 60ba13ac-8521-42b3-96a8-537f265c0baf | TXN-001237     | 4834        | Mar 31, 2026 | INITIATED
 87095 | 9982b484-ce32-414d-9da9-f37f0178c571 | TXN-001238     | 4841        | Mar 31, 2026 | INITIATED
 87096 | f8329322-ad52-4c0b-b71c-4999d6e41a5f | TXN-001239     | 4841        | Mar 31, 2026 | INITIATED
 87097 | 0336c73d-a1d7-4e22-a57a-a5ed83207896 | TXN-001240     | 4834        | Mar 31, 2026 | INITIATED
 87098 | 32e44bd7-aa69-4a74-9bb1-66dd7441de58 | TXN-001241     | 4837        | Apr 15, 2026 | INITIATED
 87099 | 12765db5-1756-431d-b70f-423b9f466196 | TXN-001242     | 4808        | Apr 28, 2026 | INITIATED
 87100 | 9e338bd9-6f02-43d2-8eb5-82dbd892c525 | TXN-001243     | 4855        | Apr 5, 2026  | INITIATED
 87101 | f6d2a17c-f903-49aa-b344-eadbb758738d | TXN-001244     | 4871        | Apr 10, 2026 | INITIATED
 87102 | ab9329c4-eff6-4f8d-a067-085a026b8820 | TXN-001245     | 4837        | Apr 20, 2026 | INITIATED
 87103 | c592e0a1-91dc-48b1-9b2c-705fc87ccf59 | TXN-001246     | 4831        | Apr 15, 2026 | INITIATED
 87104 | 58fc3a47-5873-47b6-9ca2-7fbf5826d263 | TXN-001247     | 4853        | Apr 8, 2026  | INITIATED
 87105 | 4b81340f-0253-4333-b005-4c9dc2dd19fb | TXN-001248     | 4808        | Apr 25, 2026 | INITIATED
 87106 | 0a5a8bdd-31bf-48a5-8773-4b6c3d2ae513 | TXN-001249     | 4863        | Apr 20, 2026 | INITIATED
 87107 | ee237426-da04-4b35-b2e2-0627983d46a7 | TXN-001250     | 4841        | Apr 12, 2026 | INITIATED
 87108 | f26a5d05-67f7-42f0-91dc-b11d5ee967d9 | TXN-001251     | 4853        | Apr 1, 2026  | INITIATED
 87109 | a45c0d30-71a6-4702-81b2-0941111507f9 | TXN-001234     | 4831        | Apr 2, 2026  | INITIATED
 87110 | 66afee22-2fa8-4dd0-8380-712788ab5645 | TXN-001235     | 4834        | Apr 2, 2026  | INITIATED
 87111 | 685f55a1-0f52-424a-ab6c-52770ad89ac4 | TXN-001236     | 4834        | Mar 31, 2026 | INITIATED
 87112 | f7d9bce2-1186-4642-97be-672642ae69bc | TXN-001237     | 4834        | Mar 31, 2026 | INITIATED
